"","Year","Country","Number of Significant Volcanic Eruptions","Number of Significant Earthquakes"
"276",1993,"Greece",0,1
"277",1993,"Guadeloupe",0,0
"278",1993,"Guatemala",0,1
"279",1993,"Iceland",0,0
"280",1993,"Indonesia",2,0
"281",1993,"Italy",0,0
"282",1993,"Japan",1,4
"283",1993,"Martinique",0,0
"284",1993,"Mexico",0,0
"285",1993,"Montserrat",0,0
"286",1993,"New Zealand",0,0
"287",1993,"Nicaragua",0,0
"288",1993,"North Korea",0,0
"289",1993,"Pacific Ocean",0,0
"290",1993,"Papua New Guinea",0,1
"291",1993,"Peru",0,1
"292",1993,"Philippines",3,0
"293",1993,"Portugal",0,0
"294",1993,"Russia",0,2
"295",1993,"Saint Vincent and the Grenadines",0,0
"296",1993,"Samoa",0,0
"297",1993,"Saudi Arabia",0,0
"298",1993,"Solomon Islands",0,0
"299",1993,"Spain",0,0
"300",1993,"Taiwan",0,0
"301",1993,"Tanzania",0,0
"302",1993,"Tonga",0,0
"303",1993,"Trinidad and Tobago",0,0
"304",1993,"Turkey",0,0
"305",1993,"United States",1,2
"306",1993,"Vanuatu",0,0
"307",1993,"World",9,26
"308",1993,"Yemen",0,0
"309",1994,"Antarctica",0,0
"310",1994,"Cameroon",0,0
"311",1994,"Canada",0,0
"312",1994,"Chile",0,0
"313",1994,"China",0,2
"314",1994,"Colombia",1,1
"315",1994,"Costa Rica",0,0
"316",1994,"Ecuador",0,0
"317",1994,"El Salvador",0,0
"318",1994,"Eritrea",0,0
"319",1994,"Ethiopia",0,0
"320",1994,"Greece",0,0
"321",1994,"Guadeloupe",0,0
"322",1994,"Guatemala",0,0
"323",1994,"Iceland",0,0
"324",1994,"Indonesia",3,7
"325",1994,"Italy",0,0
"326",1994,"Japan",1,2
"327",1994,"Martinique",0,0
"328",1994,"Mexico",0,0
"329",1994,"Montserrat",0,0
"330",1994,"New Zealand",0,1
"331",1994,"Nicaragua",0,0
"332",1994,"North Korea",0,0
"333",1994,"Pacific Ocean",0,0
"334",1994,"Papua New Guinea",1,0
"335",1994,"Peru",0,0
"336",1994,"Philippines",0,1
"337",1994,"Portugal",0,0
"338",1994,"Russia",0,2
"339",1994,"Saint Vincent and the Grenadines",0,0
"340",1994,"Samoa",0,0
"341",1994,"Saudi Arabia",0,0
"342",1994,"Solomon Islands",0,0
"343",1994,"Spain",0,0
"344",1994,"Taiwan",0,2
"345",1994,"Tanzania",0,0
"346",1994,"Tonga",0,0
"347",1994,"Trinidad and Tobago",0,0
"348",1994,"Turkey",0,0
"349",1994,"United States",0,5
"350",1994,"Vanuatu",1,0
"351",1994,"World",7,32
"352",1994,"Yemen",0,0
"353",1995,"Antarctica",0,0
"354",1995,"Cameroon",0,0
"355",1995,"Canada",0,0
"356",1995,"Chile",0,2
"357",1995,"China",0,3
"358",1995,"Colombia",0,2
"359",1995,"Costa Rica",0,0
"360",1995,"Ecuador",0,1
"361",1995,"El Salvador",0,0
"362",1995,"Eritrea",0,0
"363",1995,"Ethiopia",0,0
"364",1995,"Greece",0,2
"365",1995,"Guadeloupe",0,0
"366",1995,"Guatemala",1,0
"367",1995,"Iceland",0,0
"368",1995,"Indonesia",1,3
"369",1995,"Italy",0,0
"370",1995,"Japan",1,4
"371",1995,"Martinique",0,0
"372",1995,"Mexico",0,2
"373",1995,"Montserrat",0,0
"374",1995,"New Zealand",0,1
"375",1995,"Nicaragua",0,0
"376",1995,"North Korea",0,0
"377",1995,"Pacific Ocean",0,0
"378",1995,"Papua New Guinea",0,1
"379",1995,"Peru",0,0
"380",1995,"Philippines",1,2
"381",1995,"Portugal",0,0
"382",1995,"Russia",0,2
"383",1995,"Saint Vincent and the Grenadines",0,0
"384",1995,"Samoa",0,1
"385",1995,"Saudi Arabia",0,0
"386",1995,"Solomon Islands",0,0
"387",1995,"Spain",0,0
"388",1995,"Taiwan",0,0
"389",1995,"Tanzania",0,0
"390",1995,"Tonga",0,0
"391",1995,"Trinidad and Tobago",0,0
"392",1995,"Turkey",0,1
"393",1995,"United States",0,1
"394",1995,"Vanuatu",1,0
"395",1995,"World",6,31
"396",1995,"Yemen",0,0
"397",1996,"Antarctica",0,0
"398",1996,"Cameroon",0,0
"399",1996,"Canada",0,0
"400",1996,"Chile",0,1
"401",1996,"China",0,3
"402",1996,"Colombia",0,0
"403",1996,"Costa Rica",0,0
"404",1996,"Ecuador",0,1
"405",1996,"El Salvador",0,0
"406",1996,"Eritrea",0,0
"407",1996,"Ethiopia",0,0
"408",1996,"Greece",0,0
"409",1996,"Guadeloupe",0,0
"410",1996,"Guatemala",0,0
"411",1996,"Iceland",1,0
"412",1996,"Indonesia",0,2
"413",1996,"Italy",0,0
"414",1996,"Japan",0,4
"415",1996,"Martinique",0,0
"416",1996,"Mexico",1,1
"417",1996,"Montserrat",0,0
"418",1996,"New Zealand",0,0
